order_id,order_date,year,month,category,sub_category,product_name,region,state,city,sales
CA-2017-152156,2017-11-08,2017,11,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,Kentucky,Henderson,731.94
CA-2017-152156,2017-11-08,2017,11,Furniture,Bookcases,"Bush Somerset Collection Bookcase",South,Kentucky,Henderson,261.96
CA-2017-138688,2017-06-12,2017,6,"Office Supplies",Labels,"Self-Adhesive Address Labels for Typewriters by Universal",West,California,"Los Angeles",14.62
US-2016-108966,2016-10-11,2016,10,"Office Supplies",Storage,"Eldon Fold 'N Roll Cart System",South,Florida,"Fort Lauderdale",22.37
US-2016-108966,2016-10-11,2016,10,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",South,Florida,"Fort Lauderdale",957.58
CA-2015-115812,2015-06-09,2015,6,Technology,Phones,"Konftel 250 Conference phone - Charcoal black",West,California,"Los Angeles",911.42
CA-2015-115812,2015-06-09,2015,6,Furniture,Tables,"Chromcraft Rectangular Conference Tables",West,California,"Los Angeles",1706.18
CA-2015-115812,2015-06-09,2015,6,"Office Supplies",Appliances,"Belkin F5C206VTEL 6 Outlet Surge",West,California,"Los Angeles",114.90
CA-2015-115812,2015-06-09,2015,6,"Office Supplies",Binders,"DXL Angle-View Binders with Locking Rings by Samsill",West,California,"Los Angeles",18.50
CA-2015-115812,2015-06-09,2015,6,Technology,Phones,"Mitel 5320 IP Phone VoIP phone",West,California,"Los Angeles",907.15
CA-2015-115812,2015-06-09,2015,6,"Office Supplies",Art,"Newell 322",West,California,"Los Angeles",7.28
CA-2015-115812,2015-06-09,2015,6,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,California,"Los Angeles",48.86
US-2018-141698,2018-04-15,2018,4,"Office Supplies",Paper,"Xerox 207",Central,Texas,Houston,20.74
CA-2018-134635,2018-04-15,2018,4,"Office Supplies",Paper,"Xerox 1883",West,California,"Los Angeles",79.14
CA-2018-114412,2018-04-15,2018,4,"Office Supplies",Paper,"Xerox 1967",South,"North Carolina",Concord,15.55
CA-2017-108434,2017-12-05,2017,12,"Office Supplies",Storage,"Dual Level, Single-Width Filing Carts",East,"New York","New York City",465.18
CA-2017-161389,2017-12-05,2017,12,"Office Supplies",Binders,"Fellowes PB200 Plastic Comb Binding Machine",West,Washington,Seattle,407.98
US-2016-118983,2016-11-22,2016,11,"Office Supplies",Binders,"Storex DuraTech Recycled Plastic Frosted Binders",Central,Texas,"Fort Worth",2.54
